Engine rpm,Lub oil pressure,Fuel pressure,Coolant pressure,lub oil temp,Coolant temp,Engine Condition,Hour,Day,Month
0.288159112,0.352910488,0.593669444,0.44327805,0.702246255,0.144168539,1,0,0.766666667,0
0.369565217,0.416517854,0.81541592,0.343573279,0.346077119,0.150281599,0,0,0.766666667,0
0.250693802,0.8042994,0.792500915,0.28604377,0.387484757,0.184504878,0,0,0.766666667,0
0.529139685,0.565255021,0.336227546,0.308650601,0.278176675,0.099366308,0,0,0.766666667,0
0.295559667,0.505578111,0.267382729,0.343093701,0.674995079,0.130344158,1,0,0.766666667,0
0.355226642,0.691331843,0.183074717,0.491649131,0.272725836,0.060489561,0,0,0.766666667,0
0.345513414,0.53004525,0.383920756,0.181211638,0.314617582,0.170551611,0,0,0.766666667,0
0.533302498,0.485779588,0.54573371,0.255059256,0.333179698,0.176386921,0,0,0.766666667,0
0.244680851,0.321496739,0.276306909,0.266718349,0.210784167,0.114814597,1,0,0.766666667,0
0.223404255,0.400310539,0.590628551,0.255336548,0.320984735,0.062512597,1,0,0.766666667,0
0.319148936,0.651530739,0.377391052,0.199596443,0.744964259,0.13389914,0,0,0.766666667,0
0.1933395,0.47850616,0.371333042,0.430966442,0.325434983,0.085368974,1,0,0.766666667,0
0.584643848,0.655709067,0.311511742,0.209437589,0.306950747,0.123521885,0,0,0.766666667,0
0.287696577,0.619273471,0.369133516,0.182797122,0.30618448,0.185369273,0,0,0.766666667,0
0.166049954,0.602943023,0.374458275,0.326560843,0.355530239,0.149907923,1,0,0.766666667,0
0.37372803,0.266792806,0.319790708,0.328457857,0.323271025,0.14280658,1,0,0.766666667,0
0.321924144,0.474261126,0.346858516,0.473184454,0.145864249,0.043558088,1,0,0.766666667,0
0.332562442,0.653184646,0.271724413,0.257296317,0.65805539,0.112215024,0,0,0.766666667,0
0.174838113,0.674585856,0.703473156,0.341358142,0.50814834,0.100434127,1,0,0.766666667,0
0.451433858,0.358625774,0.211979455,0.656299078,0.247558366,0.101708882,0,0,0.766666667,0
0.263182239,0.30515024,0.425636583,0.422978827,0.212700122,0.179167343,1,0,0.766666667,0
0.258094357,0.390755892,0.333726918,0.281685429,0.275858794,0.044763174,1,0,0.766666667,0
0.398704903,0.543603387,0.136503932,0.260344578,0.270399213,0.161958713,0,0,0.766666667,0
0.26827012,0.606608621,0.148511892,0.554513764,0.242436325,0.185945587,0,0,0.766666667,0
0.321924144,0.452629353,0.389936121,0.632399376,0.24821228,0.179798265,1,0,0.766666667,0
0.604995375,0.404495093,0.265369148,0.279381998,0.235412463,0.172342623,1,0,0.766666667,0
0.26919519,0.443199116,0.199339238,0.145795003,0.69205677,0.100048446,0,0,0.766666667,0
0.311748381,0.647017075,0.221094107,0.346212306,0.285424109,0.210297522,1,0,0.766666667,0
0.237742831,0.390888378,0.261996156,0.302126828,0.399711955,0.141847357,1,0,0.766666667,0
0.448196115,0.422162407,0.316571624,0.155565233,0.349536296,0.158618677,0,0,0.766666667,0
0.347826087,0.484807558,0.307507491,0.31863228,0.82889774,0.093873328,0,0,0.766666667,0
0.408880666,0.178479141,0.347889514,0.310306418,0.2588912,0.222369461,1,0,0.766666667,0
0.286308973,0.725150146,0.602673978,0.202189521,0.245523383,0.151836474,1,0,0.766666667,0
0.358464385,0.477586812,0.292410101,0.198683061,0.286537819,0.074338698,1,0,0.766666667,0
0.29093432,0.398830758,0.270857129,0.313463069,0.27936111,0.093515874,1,0,0.766666667,0
0.381128585,0.543451489,0.231068145,0.326759495,0.416679621,0.158983448,0,0,0.766666667,0
0.3066605,0.687116585,0.342083562,0.340167147,0.20532865,0.136789859,0,0,0.766666667,0
0.266882516,0.627947627,0.30191388,0.419525837,0.318888913,0.035314904,1,0,0.766666667,0
0.172062905,0.308597772,0.272639996,0.794294546,0.659336081,0.14800739,0,0,0.766666667,0
0.324699352,0.286013839,0.694177384,0.142938409,0.317939304,0.168408262,0,0,0.766666667,0
0.7386679,0.354050348,0.182363978,0.28476316,0.298505185,0.091642665,0,0,0.766666667,0
0.235892692,0.347454788,0.225615146,0.241959303,0.286725576,0.097199259,0,0,0.766666667,0
0.247918594,0.548668854,0.266885842,0.314857404,0.57869428,0.138823208,1,0,0.766666667,0
0.2839963,0.336934324,0.402840783,0.205401679,0.206522801,0.068874779,1,0,0.766666667,0
0.36493987,0.615548131,0.403881823,0.434785941,0.764166988,0.114212435,1,0,0.766666667,0
0.286771508,0.540342736,0.08212187,0.11052735,0.400467656,0.182468628,0,0.043478261,0.766666667,0
0.357539315,0.336166598,0.380181386,0.358188457,0.31814742,0.18407561,0,0.043478261,0.766666667,0
0.357076781,0.702003134,0.582422226,0.368760263,0.350544284,0.111200548,0,0.043478261,0.766666667,0
0.398242368,0.435290291,0.37324692,0.624681425,0.261679177,0.081177448,0,0.043478261,0.766666667,0
0.176225717,0.376503859,0.262966016,0.432143315,0.315691227,0.086336598,1,0.043478261,0.766666667,0
0.201665125,0.351326681,0.260886489,0.469252474,0.239995865,0.11890294,1,0.043478261,0.766666667,0
0.237280296,0.517730258,0.334783941,0.397385665,0.675807838,0.096209759,0,0.043478261,0.766666667,0
0.377428307,0.398961161,0.333276136,0.218464643,0.245542365,0.089546333,1,0.043478261,0.766666667,0
0.310360777,0.389752141,0.287702256,0.733857458,0.211585484,0.125193211,1,0.043478261,0.766666667,0
0.336725254,0.412460827,0.884671804,0.24339557,0.185993455,0.096250199,1,0.043478261,0.766666667,0
0.224791859,0.455548957,0.176200742,0.216618045,0.321303977,0.08148244,1,0.043478261,0.766666667,0
